Country,Year,GDP (trillions USD),Population (millions),Life Expectancy,Unemployment Rate (%),CO2 Emissions (metric tons per capita),Access to Electricity (%)
Italy,2015,19.30619,104.31,71.7,9.35,4.94,69.9
Saudi Arabia,2016,8.399040000000001,756.2,50.7,16.47,13.57,55.19
South Korea,2017,13.07863,1219.4,74.2,14.81,12.36,64.8
Australia,2018,4.44708,1090.03,75.6,3.69,3.74,86.12
Brazil,2019,9.20927,815.7,79.4,5.82,11.94,57.0
China,2010,11.05154,149.74,82.7,14.63,19.44,50.12
Indonesia,2011,2.86059,254.58,55.6,10.31,3.6,76.75
United States,2012,17.95,566.29,59.5,15.38,9.53,63.82
Mexico,2013,3.15844,722.09,69.9,17.83,16.58,54.95
Brazil,2014,11.80369,255.73,68.4,6.27,10.83,98.84
China,2015,6.73931,603.69,63.5,18.05,16.88,78.31
India,2016,18.64929,1011.75,74.4,3.04,6.29,58.97
United States,2017,11.62,656.05,83.3,10.24,9.6,99.02
China,2018,16.17262,101.39,50.5,3.42,5.53,75.8
Brazil,2019,18.02609,366.95,71.0,12.68,6.95,68.95
Italy,2010,5.03707,1485.05,61.7,3.14,2.58,89.1
Japan,2011,13.54407,262.16,66.5,13.53,19.5,90.01
United Kingdom,2012,16.43361,1394.68,70.0,17.91,7.98,59.37
Italy,2013,8.10107,314.66,57.5,20.86,3.74,89.96
Indonesia,2014,9.1826,444.62,59.1,4.1,12.48,71.07
Indonesia,2015,5.05691,1311.01,80.7,24.26,9.94,58.63
Saudi Arabia,2016,9.53713,1329.04,82.2,8.38,12.17,62.5
Nigeria,2017,19.33269,51.74,63.2,5.65,5.49,80.87
France,2018,8.648459999999998,59.66,69.1,19.96,2.72,97.42
France,2019,15.29173,1093.35,62.2,3.59,16.14,55.68
Australia,2010,5.40785,151.69,83.9,3.15,18.51,71.73
Canada,2011,6.45699,405.93,79.9,2.27,9.62,56.49
South Africa,2012,3.26127,862.69,65.2,17.44,9.34,68.9
Russia,2013,15.79699,541.37,67.4,21.3,18.56,52.82
South Africa,2014,7.81868,1492.77,52.7,4.33,1.31,91.38
Argentina,2015,10.73226,1030.62,74.5,22.4,12.13,61.32
Canada,2016,15.40827,273.75,54.5,6.36,14.91,79.49
Mexico,2017,5.27901,815.03,64.6,16.85,3.93,73.88
Japan,2018,1.19594,110.47,58.8,12.22,9.65,56.25
United States,2019,19.97029,1184.63,65.7,17.92,2.57,72.17
South Africa,2010,7.48575,552.64,63.3,13.41,11.79,98.98
India,2011,12.01746,890.25,72.2,9.19,12.42,68.87
United States,2012,15.81185,56.21,69.0,10.02,14.08,60.64
United Kingdom,2013,5.43566,719.24,53.2,22.05,19.51,56.06
Indonesia,2014,4.29494,570.5,56.2,15.82,2.11,98.57
India,2015,9.98071,208.15,65.7,2.54,11.3,66.19
South Korea,2016,4.02309,1349.29,65.2,17.38,14.75,96.05
Mexico,2017,16.7057,1216.53,63.0,11.48,2.67,72.77
India,2018,16.681060000000002,243.57,72.8,11.59,18.42,60.83
Saudi Arabia,2019,15.91846,31.01,81.5,8.43,8.67,50.37
Saudi Arabia,2010,5.94073,258.46,65.8,3.62,5.93,67.57
China,2011,19.65542,67.57,52.1,19.88,2.64,57.07
United Kingdom,2012,2.35821,1283.91,78.7,9.33,11.29,77.19
Russia,2013,10.29678,845.88,50.5,16.57,3.81,93.61
Italy,2014,13.29992,1243.97,76.6,12.73,11.23,53.06
Nigeria,2015,15.03335,1088.04,58.4,18.75,6.77,64.12
Australia,2016,3.60437,574.5,56.7,8.69,2.16,99.49
Canada,2017,18.02438,721.25,51.4,13.68,11.47,93.54
Saudi Arabia,2018,17.79273,1065.01,57.7,10.35,16.31,88.74
France,2019,3.20239,1082.77,54.4,13.25,9.53,78.61
Australia,2010,10.51194,106.6,70.1,17.57,17.34,52.59
Saudi Arabia,2011,2.94888,934.96,71.1,18.05,10.14,90.89
Russia,2012,18.5869,992.5,58.2,18.39,6.3,68.38
United States,2013,13.25232,1285.54,63.3,24.74,3.52,60.03
Italy,2014,18.16171,1367.09,53.7,7.97,19.77,88.75
United Kingdom,2015,2.0085,370.94,64.9,11.76,5.81,72.58
United Kingdom,2016,2.42251,1158.5,64.0,13.35,3.99,62.63
Japan,2017,8.06477,72.28,50.5,2.4,3.75,54.58
Japan,2018,18.79306,1054.59,56.7,10.57,0.93,51.28
Nigeria,2019,16.58939,1312.99,62.9,5.77,8.58,57.83
Argentina,2010,17.95663,77.35,52.2,8.1,5.45,75.5
Australia,2011,5.69513,360.22,74.9,20.24,2.69,66.48
Argentina,2012,12.52395,691.47,80.1,13.84,9.37,86.29
South Korea,2013,14.74613,779.96,71.2,15.06,11.36,92.82
Nigeria,2014,3.93176,1327.49,54.7,24.48,7.4,62.08
Italy,2015,19.90075,915.3,54.1,22.52,12.05,78.45
South Korea,2016,5.13788,568.05,51.4,18.47,3.1,50.57
Germany,2017,4.6608,1071.12,52.4,5.09,5.84,96.99
South Africa,2018,9.24719,768.39,81.9,2.79,17.43,84.2
Indonesia,2019,8.40255,1086.02,68.5,6.57,1.6,85.13
Japan,2010,8.351719999999998,975.96,83.5,16.41,5.19,71.12
Canada,2011,12.04504,334.48,66.8,24.2,1.1,98.23
India,2012,13.75203,573.05,68.4,19.73,18.99,73.28
Brazil,2013,7.21186,533.25,60.5,14.92,15.7,80.13
France,2014,10.66893,9.97,53.2,12.2,13.61,65.16
Germany,2015,1.15777,1235.08,62.9,22.65,2.57,50.3
Argentina,2016,4.52426,1481.13,55.0,8.83,15.83,89.38
South Africa,2017,5.19249,1033.36,77.6,6.77,18.13,67.34
France,2018,13.2758,1174.0,56.4,7.9,6.6,58.9
Saudi Arabia,2019,13.95275,232.65,75.6,9.27,18.05,75.52
Saudi Arabia,2010,19.36959,1160.85,74.5,2.62,9.94,98.67
Nigeria,2011,12.89252,1179.26,77.2,7.28,4.71,51.4
Argentina,2012,19.6223,1089.73,57.9,18.52,1.24,55.74
Germany,2013,2.46405,169.82,59.8,19.24,9.62,70.38
Canada,2014,14.39779,414.68,56.4,22.13,19.1,70.18
Russia,2015,7.99946,544.36,56.7,17.51,0.94,67.94
Russia,2016,5.87476,865.49,72.4,21.17,7.17,95.76
Turkey,2017,18.27554,965.84,80.3,9.86,2.52,58.39
France,2018,15.01097,1041.96,67.7,3.79,17.74,64.28
Italy,2019,14.66536,605.04,57.4,5.68,16.65,55.19
Germany,2010,19.5724,820.24,82.3,19.46,4.11,60.41
India,2011,4.77081,582.17,74.1,7.73,4.16,98.09
Turkey,2012,13.64716,958.91,57.4,7.41,11.8,72.47
Turkey,2013,15.42128,117.27,83.5,12.82,9.01,60.73
Mexico,2014,9.24496,971.67,54.7,15.14,1.37,79.03
China,2015,3.89442,535.04,81.5,5.14,12.31,67.58
Australia,2016,1.99833,1129.8,55.4,3.12,18.27,84.97
France,2017,7.64466,1441.29,54.8,23.88,16.44,65.52
Saudi Arabia,2018,10.50036,1307.18,61.8,17.71,1.88,50.63
Turkey,2019,17.51509,263.69,64.4,4.58,9.29,59.65
Saudi Arabia,2010,13.61083,1498.06,59.8,6.99,8.05,58.66
Italy,2011,19.16434,159.02,58.1,12.8,12.43,51.3
France,2012,2.58421,446.06,60.5,21.79,13.31,56.12
Canada,2013,18.79003,1383.38,60.7,24.14,9.77,51.55
United States,2014,11.30667,569.86,57.8,17.73,19.17,61.85
Japan,2015,8.92276,1192.43,68.7,23.2,11.73,76.0
Russia,2016,14.52078,1027.79,59.2,15.82,19.07,99.61
Argentina,2017,6.05313,574.86,53.2,22.49,8.29,93.07
South Korea,2018,14.87227,1345.23,75.7,15.36,16.89,97.1
Japan,2019,11.52962,398.84,65.7,13.31,2.18,72.7
South Africa,2010,14.15021,945.01,59.1,11.97,8.62,64.26
Mexico,2011,15.69554,1417.3,56.3,6.27,8.28,50.23
Turkey,2012,19.98377,1287.97,66.6,11.28,12.02,52.15
Turkey,2013,14.53798,129.91,52.8,24.55,6.35,64.89
Indonesia,2014,1.62255,1384.17,51.0,24.33,18.08,96.89
South Africa,2015,1.57533,749.39,80.4,17.75,15.01,80.64
Indonesia,2016,11.43454,1453.92,70.8,23.18,5.56,87.7
Indonesia,2017,6.98262,766.01,71.3,5.91,2.67,84.5
United Kingdom,2018,15.26816,129.89,79.7,22.45,16.31,73.76
Canada,2019,6.24239,492.28,82.1,17.94,1.92,61.95
Japan,2010,19.42537,1005.96,62.6,15.46,16.43,72.2
Indonesia,2011,19.38571,502.78,67.5,14.26,6.55,57.46
Argentina,2012,17.48888,170.59,57.7,5.74,12.13,73.58
China,2013,9.64239,1398.37,53.7,9.72,1.16,71.31
Mexico,2014,2.2484,257.48,61.6,18.22,3.81,99.33
Canada,2015,8.79526,1109.08,55.5,22.59,3.33,62.87
India,2016,6.37201,96.36,77.1,13.08,17.19,84.51
Argentina,2017,2.78581,993.25,69.9,14.57,16.38,51.74
France,2018,11.92142,74.99,54.5,24.06,19.84,72.86
Turkey,2019,7.36269,11.97,82.2,2.42,8.09,69.67
India,2010,4.29915,93.43,75.4,23.9,17.2,65.9
Germany,2011,10.27832,673.66,84.9,3.98,4.71,98.59
United Kingdom,2012,14.06716,640.39,72.9,15.24,14.38,94.97
Indonesia,2013,2.37528,549.95,54.0,20.31,7.02,86.41
France,2014,10.78129,130.66,54.9,13.97,15.61,61.83
India,2015,13.69174,1367.4,63.9,3.16,2.7,94.86
South Africa,2016,13.64964,1083.48,83.0,10.06,1.04,90.78
Mexico,2017,8.60837,584.57,68.4,16.86,7.22,52.8
Argentina,2018,4.07611,1268.65,58.3,14.11,14.82,78.62
Argentina,2019,7.8386,387.52,76.3,5.96,16.07,51.05
Japan,2010,4.34994,234.27,54.3,22.95,17.41,62.48
Turkey,2011,18.44103,1374.01,63.4,20.78,4.97,79.16
Indonesia,2012,7.46033,576.54,67.5,5.18,1.04,74.34
France,2013,18.1857,317.04,62.1,14.5,4.43,63.8
Russia,2014,18.97915,661.49,72.7,22.26,12.14,86.32
Brazil,2015,7.40673,359.01,82.4,11.97,9.88,68.19
United Kingdom,2016,9.23875,1300.93,57.5,8.44,4.37,74.24
United States,2017,15.71819,1233.28,63.1,6.78,14.03,87.22
Mexico,2018,12.85057,488.3,76.0,24.63,3.2,79.78
Italy,2019,14.53319,1165.03,61.7,21.84,13.98,54.87
Italy,2010,8.04793,591.93,79.0,22.12,14.58,70.11
India,2011,4.68124,369.29,72.8,21.14,3.28,87.48
United States,2012,1.01172,274.33,75.4,24.79,18.38,88.62
South Korea,2013,12.85168,643.25,70.4,5.79,15.33,76.09
Germany,2014,5.27758,649.39,64.2,16.24,3.75,67.18
India,2015,1.11088,672.78,78.5,22.3,11.36,66.04
Australia,2016,9.21029,689.65,64.9,9.82,15.59,67.29
United States,2017,4.93715,1234.82,61.0,4.14,14.66,91.16
Canada,2018,10.88696,262.59,76.5,2.28,7.25,59.21
United Kingdom,2019,4.52598,535.47,73.7,17.29,16.68,65.48
